År;Kvartal;Befolkningsförändring_Kvartal;Befolkningsförändring_R12;Befolkningsförändring_Prognos;Födda_barn_Kvartal;Födda_barn_R12;Födda_barn_Prognos;Döda_Kvartal;Döda_R12;Döda_Prognos;Inflyttning_Kvartal;Inflyttning_R12;Inflyttning_Prognos;Utflyttning_Kvartal;Utflyttning_R12;Utflyttning_Prognos;Befolkning_Kvartal;Befolkning_R12;Befolkning_Prognos;;;;;;;;;;;;;
2020;1;274;1826;1840;447;1845;1890;340;1206;1250;2046;9561;9400;1887;8419;8200;163325;162626;164890;;;;;;;;;;;;;
2020;2;-244;1710;1840;456;1779;1890;364;1324;1250;1704;9575;9400;2041;8360;8200;163081;163053,5;164890;;;;;;;;;;;;;
2020;3;1392;1716;1840;495;1806;1890;243;1264;1250;3990;9553;9400;2862;8424;8200;164473;163482,5;164890;;;;;;;;;;;;;
2020;4;143;1565;1840;388;1786;1890;387;1334;1250;1874;9614;9400;1846;8636;8200;164616;163874;164890;;;;;;;;;;;;;
2021;1;68;1359;1320;454;1793;1830;348;1342;1230;1808;9376;8760;1977;8726;8050;164684;164214;165930;;;;;;;;;;;;;
2021;2;-441;1162;1320;496;1833;1830;267;1245;1230;1580;9252;8760;2340;9025;8050;164243;164504;165930;;;;;;;;;;;;;
2021;3;1165;935;1320;465;1803;1830;312;1314;1230;4117;9379;8760;3213;9376;8050;165408;164738;165930;;;;;;;;;;;;;
2021;4;119;911;1320;426;1841;1830;346;1273;1230;1885;9390;8760;2067;9597;8050;165527;164966;165930;;;;;;;;;;;;;
2022;1;30;873;880;403;1790;1840;360;1285;1330;1935;9517;9950;2030;9650;9580;165557;165184;166410;;;;;;;;;;;;;
2022;2;-524;790;880;422;1716;1840;267;1285;1330;1771;9708;9950;2449;9759;9580;165033;165381;166410;;;;;;;;;;;;;
2022;3;1179;804;880;419;1670;1840;269;1242;1330;4200;9791;9950;3225;9771;9580;166212;165582;166410;;;;;;;;;;;;;
2022;4;461;1146;880;365;1609;1840;349;1245;1330;2080;9986;9950;1751;9455;9580;166673;165869;166410;;;;;;;;;;;;;
2023;1;250;1366;1360;393;1599;1640;349;1234;1270;2039;10090;10240;1864;9289;9240;166923;166210;168040;;;;;;;;;;;;;
2023;2;-364;1526;1360;428;1605;1640;291;1258;1270;1816;10135;10240;2304;9144;9240;166559;166592;168040;;;;;;;;;;;;;
2023;3;898;1245;1360;383;1569;1640;294;1283;1270;4070;10005;10240;3258;9177;9240;167457;166903;168040;;;;;;;;;;;;;
2023;4;-53;731;1360;352;1556;1640;326;1260;1270;1817;9742;10240;1878;9304;9240;167404;167086;168040;;;;;;;;;;;;;
2024;1;68;549;950;446;1609;1600;318;1229;1250;1921;9624;9930;1967;9407;9330;167472;167223;168350;;;;;;;;;;;;;
2024;2;-705;208;950;411;1592;1600;274;1212;1250;1685;9493;9930;2516;9619;9330;166767;167275;168350;;;;;;;;;;;;;
2024;3;1227;537;950;412;1621;1600;272;1190;1250;4440;9863;9930;3364;9725;9330;167994;167409;168350;;;;;;;;;;;;;
2024;4;41;631;950;332;1601;1600;313;1177;1250;1802;9848;9930;1781;9628;9330;168035;167567;168350;;;;;;;;;;;;;
2025;1;89;652;750;343;1498;1580;349;1208;1280;1959;9886;9720;1880;9541;9270;168124;167730;168780;;;;;;;;;;;;;
2025;2;-685;672;750;436;1523;1580;307;1241;1280;1647;9848;9720;2449;9474;9270;167439;167898;168780;;;;;;;;;;;;;
2025;3;1298;743;750;376;1487;1580;280;1249;1280;4476;9884;9720;3279;9389;9270;168737;168084;168780;;;;;;;;;;;;;
2025;4;-24;678;750;340;1495;1580;319;1255;1280;1842;9924;9720;1895;9503;9270;168713;168253;168780;;;;;;;;;;;;;
